time,G(i),H_sun,T2m,WS10m,Int
20100109:2303,0.0,0.0,0.0,0.0,0.0
20100110:0003,0.0,0.0,0.0,0.0,0.0
20100110:0103,0.0,0.0,0.0,0.0,0.0
20100110:0203,0.0,0.0,0.0,0.0,0.0
20100110:0303,0.0,0.0,0.0,0.0,0.0
20100110:0403,0.0,0.0,0.0,0.0,0.0
20100110:0503,0.0,0.0,0.0,0.0,0.0
20100110:0603,0.0,0.0,0.0,0.0,0.0
20100110:0703,0.0,0.0,0.0,0.0,0.0
20100110:0803,0.0,0.0,0.0,0.0,0.0
20100110:0903,134.43,10.21,0.0,0.0,0.0
20100110:1003,369.63,23.42,0.0,0.0,0.0
20100110:1103,598.18,36.89,0.0,0.0,0.0
20100110:1203,802.67,50.54,0.0,0.0,0.0
20100110:1303,965.21,64.31,0.0,0.0,0.0
20100110:1403,1054.91,78.13,0.0,0.0,0.0
20100110:1503,1080.83,87.83,0.0,0.0,0.0
20100110:1603,1027.98,74.09,0.0,0.0,0.0
20100110:1703,898.31,60.28,0.0,0.0,0.0
20100110:1803,693.64,46.54,0.0,0.0,0.0
20100110:1903,382.4,32.93,0.0,0.0,0.0
20100110:2003,155.12,19.53,0.0,0.0,0.0
20100110:2103,38.09,6.43,0.0,0.0,0.0
20100110:2203,0.0,0.0,0.0,0.0,0.0
20100110:2303,0.0,0.0,0.0,0.0,0.0
20100111:0003,0.0,0.0,0.0,0.0,0.0
20100111:0103,0.0,0.0,0.0,0.0,0.0
20100111:0203,0.0,0.0,0.0,0.0,0.0
20100111:0303,0.0,0.0,0.0,0.0,0.0
20100111:0403,0.0,0.0,0.0,0.0,0.0
20100111:0503,0.0,0.0,0.0,0.0,0.0
20100111:0603,0.0,0.0,0.0,0.0,0.0
20100111:0703,0.0,0.0,0.0,0.0,0.0
20100111:0803,0.0,0.0,0.0,0.0,0.0
20100111:0903,131.39,10.08,0.0,0.0,0.0
20100111:1003,365.58,23.29,0.0,0.0,0.0
20100111:1103,596.16,36.77,0.0,0.0,0.0
20100111:1203,801.65,50.43,0.0,0.0,0.0
20100111:1303,959.19,64.2,0.0,0.0,0.0
20100111:1403,1054.89,78.02,0.0,0.0,0.0
20100111:1503,1086.81,87.85,0.0,0.0,0.0
20100111:1603,1038.95,74.16,0.0,0.0,0.0
20100111:1703,909.29,60.35,0.0,0.0,0.0
20100111:1803,690.6,46.6,0.0,0.0,0.0
20100111:1903,363.31,32.98,0.0,0.0,0.0
20100111:2003,145.08,19.57,0.0,0.0,0.0
20100111:2103,7.0,6.45,0.0,0.0,0.0
20100111:2203,0.0,0.0,0.0,0.0,0.0
20100111:2303,0.0,0.0,0.0,0.0,0.0
20100112:0003,0.0,0.0,0.0,0.0,0.0
20100112:0103,0.0,0.0,0.0,0.0,0.0
20100112:0203,0.0,0.0,0.0,0.0,0.0
20100112:0303,0.0,0.0,0.0,0.0,0.0
20100112:0403,0.0,0.0,0.0,0.0,0.0
20100112:0503,0.0,0.0,0.0,0.0,0.0
20100112:0603,0.0,0.0,0.0,0.0,0.0
20100112:0703,0.0,0.0,0.0,0.0,0.0
20100112:0803,0.0,0.0,0.0,0.0,0.0
20100112:0903,113.86,9.94,0.0,0.0,0.0
20100112:1003,317.98,23.16,0.0,0.0,0.0
20100112:1103,537.81,36.65,0.0,0.0,0.0
20100112:1203,612.24,50.31,0.0,0.0,0.0
20100112:1303,907.14,64.09,0.0,0.0,0.0
20100112:1403,921.92,77.92,0.0,0.0,0.0
20100112:1503,1027.82,87.85,0.0,0.0,0.0
20100112:1603,963.94,74.23,0.0,0.0,0.0
20100112:1703,804.17,60.41,0.0,0.0,0.0
20100112:1803,508.18,46.66,0.0,0.0,0.0
20100112:1903,380.37,33.03,0.0,0.0,0.0
20100112:2003,180.23,19.61,0.0,0.0,0.0
20100112:2103,56.44,6.48,0.0,0.0,0.0
20100112:2203,0.0,0.0,0.0,0.0,0.0
20100112:2303,0.0,0.0,0.0,0.0,0.0
20100113:0003,0.0,0.0,0.0,0.0,0.0
20100113:0103,0.0,0.0,0.0,0.0,0.0
20100113:0203,0.0,0.0,0.0,0.0,0.0
20100113:0303,0.0,0.0,0.0,0.0,0.0
20100113:0403,0.0,0.0,0.0,0.0,0.0
20100113:0503,0.0,0.0,0.0,0.0,0.0
20100113:0603,0.0,0.0,0.0,0.0,0.0
20100113:0703,0.0,0.0,0.0,0.0,0.0
20100113:0803,0.0,0.0,0.0,0.0,0.0
20100113:0903,110.83,9.8,0.0,0.0,0.0
20100113:1003,345.33,23.03,0.0,0.0,0.0
20100113:1103,557.92,36.52,0.0,0.0,0.0
20100113:1203,714.41,50.2,0.0,0.0,0.0
20100113:1303,697.04,63.98,0.0,0.0,0.0
20100113:1403,887.91,77.81,0.0,0.0,0.0
20100113:1503,944.85,87.83,0.0,0.0,0.0
20100113:1603,817.96,74.3,0.0,0.0,0.0
20100113:1703,885.22,60.47,0.0,0.0,0.0
20100113:1803,688.55,46.71,0.0,0.0,0.0
20100113:1903,406.47,33.08,0.0,0.0,0.0
20100113:2003,179.22,19.64,0.0,0.0,0.0
20100113:2103,52.32,6.5,0.0,0.0,0.0
20100113:2203,0.0,0.0,0.0,0.0,0.0
20100113:2303,0.0,0.0,0.0,0.0,0.0
20100114:0003,0.0,0.0,0.0,0.0,0.0
20100114:0103,0.0,0.0,0.0,0.0,0.0
20100114:0203,0.0,0.0,0.0,0.0,0.0
20100114:0303,0.0,0.0,0.0,0.0,0.0
20100114:0403,0.0,0.0,0.0,0.0,0.0
20100114:0503,0.0,0.0,0.0,0.0,0.0
20100114:0603,0.0,0.0,0.0,0.0,0.0
20100114:0703,0.0,0.0,0.0,0.0,0.0
20100114:0803,0.0,0.0,0.0,0.0,0.0
20100114:0903,121.2,9.65,0.0,0.0,0.0
20100114:1003,352.45,22.89,0.0,0.0,0.0
20100114:1103,580.05,36.4,0.0,0.0,0.0
20100114:1203,779.54,50.08,0.0,0.0,0.0
20100114:1303,945.12,63.87,0.0,0.0,0.0
20100114:1403,1041.82,77.7,0.0,0.0,0.0
20100114:1503,1050.75,87.79,0.0,0.0,0.0
20100114:1603,989.89,74.36,0.0,0.0,0.0
20100114:1703,895.2,60.53,0.0,0.0,0.0
20100114:1803,763.76,46.76,0.0,0.0,0.0
20100114:1903,526.17,33.12,0.0,0.0,0.0
20100114:2003,286.35,19.67,0.0,0.0,0.0
20100114:2103,13.0,6.51,0.0,0.0,0.0
20100114:2203,0.0,0.0,0.0,0.0,0.0
20100114:2303,0.0,0.0,0.0,0.0,0.0
20100115:0003,0.0,0.0,0.0,0.0,0.0
20100115:0103,0.0,0.0,0.0,0.0,0.0
20100115:0203,0.0,0.0,0.0,0.0,0.0
20100115:0303,0.0,0.0,0.0,0.0,0.0
20100115:0403,0.0,0.0,0.0,0.0,0.0
20100115:0503,0.0,0.0,0.0,0.0,0.0
20100115:0603,0.0,0.0,0.0,0.0,0.0
20100115:0703,0.0,0.0,0.0,0.0,0.0
20100115:0803,0.0,0.0,0.0,0.0,0.0
20100115:0903,11.0,9.51,0.0,0.0,0.0
20100115:1003,56.0,22.76,0.0,0.0,0.0
20100115:1103,83.0,36.28,0.0,0.0,0.0
20100115:1203,114.0,49.97,0.0,0.0,0.0
20100115:1303,166.0,63.76,0.0,0.0,0.0
20100115:1403,383.0,77.58,0.0,0.0,0.0
20100115:1503,690.95,87.73,0.0,0.0,0.0
20100115:1603,758.95,74.41,0.0,0.0,0.0
20100115:1703,527.02,60.59,0.0,0.0,0.0
20100115:1803,654.42,46.81,0.0,0.0,0.0
20100115:1903,89.0,33.16,0.0,0.0,0.0
20100115:2003,27.0,19.69,0.0,0.0,0.0
20100115:2103,6.0,6.52,0.0,0.0,0.0
20100115:2203,0.0,0.0,0.0,0.0,0.0
20100115:2303,0.0,0.0,0.0,0.0,0.0
20100116:0003,0.0,0.0,0.0,0.0,0.0
20100116:0103,0.0,0.0,0.0,0.0,0.0
20100116:0203,0.0,0.0,0.0,0.0,0.0
20100116:0303,0.0,0.0,0.0,0.0,0.0
20100116:0403,0.0,0.0,0.0,0.0,0.0
20100116:0503,0.0,0.0,0.0,0.0,0.0
20100116:0603,0.0,0.0,0.0,0.0,0.0
20100116:0703,0.0,0.0,0.0,0.0,0.0
20100116:0803,0.0,0.0,0.0,0.0,0.0
20100116:0903,90.46,9.37,0.0,0.0,0.0
20100116:1003,306.91,22.63,0.0,0.0,0.0
20100116:1103,387.22,36.16,0.0,0.0,0.0
20100116:1203,652.27,49.85,0.0,0.0,0.0
20100116:1303,744.03,63.65,0.0,0.0,0.0
20100116:1403,661.96,77.47,0.0,0.0,0.0
20100116:1503,831.87,87.64,0.0,0.0,0.0
20100116:1603,678.96,74.46,0.0,0.0,0.0
20100116:1703,551.02,60.64,0.0,0.0,0.0
20100116:1803,288.01,46.85,0.0,0.0,0.0
20100116:1903,104.0,33.19,0.0,0.0,0.0
20100116:2003,27.0,19.71,0.0,0.0,0.0
20100116:2103,9.0,6.53,0.0,0.0,0.0
20100116:2203,0.0,0.0,0.0,0.0,0.0
20100116:2303,0.0,0.0,0.0,0.0,0.0
